0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:01:48 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:01:50 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:01:50 +0530] "GET /Games/alert.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:01:50 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:03:35 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:03:37 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:03:37 +0530] "GET /Games/alert.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:03:37 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:07:24 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:07:26 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:07:26 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:08:26 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:08:28 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:08:30 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:08:30 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:15 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:15 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:23 +0530] "POST /Games/LoginServlet HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:27 +0530] "GET /Games/Contact.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:33 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:35 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:38 +0530] "GET /Games/Contact.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:39 +0530] "GET /Games/Welcome.jsp HTTP/1.1" 200 7939
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:42 +0530] "GET /Games/logout.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:44 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:46 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:10:46 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
